id,plan_id,version,armed_under_version,session,scenario,side,entry_px,stop_px,target_px,state,state_reason,signal_id,fill_price,fill_quantity,created_at,updated_at,leg_index,leg_count,kind,condition,placement_seq
75,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.5759174815,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),c794d0ce-0ca7-4c03-894c-25ddf4468935,0.0,0,2026-09-04 10:26:02.820174595-05:00,2026-09-04 15:42:01.195667232+00:00,0,0,stop_entry,reclaim,6
77,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.5759174815,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),4646df81-f408-48bc-9834-477105ed801c,0.0,0,2026-09-04 10:28:02.470581389-05:00,2026-09-04 15:44:01.240221148+00:00,0,0,stop_entry,reclaim,7
79,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),c5d4860a-1d7f-4480-bd27-fc6958221dae,0.0,0,2026-09-04 10:30:02.945955423-05:00,2026-09-04 15:46:01.18619857+00:00,0,0,stop_entry,reclaim,8
81,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),9fcd8c7c-7d13-4e97-871c-21a49f44c643,0.0,0,2026-09-04 10:32:02.154545688-05:00,2026-09-04 15:48:00.742367108+00:00,0,0,stop_entry,reclaim,9
83,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),9b146ffa-d569-44f9-a6b6-0701073418e9,0.0,0,2026-09-04 10:34:01.746929746-05:00,2026-09-04 15:50:00.531285372+00:00,0,0,stop_entry,reclaim,10
85,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),7dd07a19-701e-4afa-9b15-655f65810e9e,0.0,0,2026-09-04 10:36:01.425755244-05:00,2026-09-04 15:52:00.520218777+00:00,0,0,stop_entry,reclaim,11
87,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",6a5da3fa-2992-426f-b56e-9d1eb805c350,0.0,0,2026-09-04 10:38:01.252761259-05:00,2026-09-04 15:53:10.99594531+00:00,0,0,stop_entry,reclaim,12
89,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",183d16ad-75df-4fcf-bd9c-685900a8aa25,0.0,0,2026-09-04 10:40:01.390944696-05:00,2026-09-04 15:53:10.99947125+00:00,0,0,stop_entry,reclaim,13
91,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",993322b9-6c27-42af-8afb-2a3620b797eb,0.0,0,2026-09-04 10:42:01.192503574-05:00,2026-09-04 15:53:11.002503607+00:00,0,0,stop_entry,reclaim,14
92,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S1,SHORT,29657.38,29720.5,29503.38,superseded,superseded: never placed (no signal id) and plan moved v3 → v4 (class 47),,0.0,0,2026-09-04 10:44:01.237828352-05:00,2026-09-04 16:05:09.27546871+00:00,0,0,limit,reject,1
93,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",b42631c8-4737-4e59-aa42-e51b5a7237db,0.0,0,2026-09-04 10:44:01.237828352-05:00,2026-09-04 15:53:11.004634084+00:00,0,0,stop_entry,reclaim,15
94,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S1,SHORT,29657.38,29720.5,29503.38,superseded,superseded: never placed (no signal id) and plan moved v3 → v4 (class 47),,0.0,0,2026-09-04 10:46:01.184031184-05:00,2026-09-04 16:05:09.275549535+00:00,0,0,limit,reject,2
95,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",fa195d44-705e-46c9-be53-5d4a2198e3c8,0.0,0,2026-09-04 10:46:01.184031184-05:00,2026-09-04 15:53:11.006679846+00:00,0,0,stop_entry,reclaim,16
96,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S1,SHORT,29657.38,29720.5,29503.38,superseded,superseded: never placed (no signal id) and plan moved v3 → v4 (class 47),,0.0,0,2026-09-04 10:48:00.738001273-05:00,2026-09-04 16:05:09.275590153+00:00,0,0,limit,reject,3
97,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",60adff7a-afe7-4b11-be91-1c6e8a413c8f,0.0,0,2026-09-04 10:48:00.738001273-05:00,2026-09-04 15:53:11.007601628+00:00,0,0,stop_entry,reclaim,17
98,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S1,SHORT,29657.38,29720.5,29503.38,superseded,superseded: never placed (no signal id) and plan moved v3 → v4 (class 47),,0.0,0,2026-09-04 10:50:00.527486448-05:00,2026-09-04 16:05:09.275613938+00:00,0,0,limit,reject,4
99,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",3bea0045-32b4-469d-ae5c-ca24ba366509,0.0,0,2026-09-04 10:50:00.527486448-05:00,2026-09-04 15:53:11.009244397+00:00,0,0,stop_entry,reclaim,18
100,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,5,NY,S1,SHORT,29720.0,29765.0,29553.75,cancelled,no active plan,,0.0,0,2026-09-04 11:29:07.177406344-05:00,2026-09-04 16:59:02.293735887+00:00,0,2,limit,reject,5
101,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",04b3e307-eb7f-4bc8-88fe-7088dff9f6a5,0.0,0,2026-09-04 10:52:00.5176577-05:00,2026-09-04 15:53:11.010776643+00:00,0,0,stop_entry,reclaim,19
102,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,cancelled in NT8,931a761a-d0c8-492b-a815-a5f41cc9d9ae,0.0,0,2026-09-04 10:53:11.012117278-05:00,2026-09-04 16:59:02.41888851+00:00,0,0,stop_entry,reclaim,20
103,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,5,NY,S1,SHORT,29720.0,29765.0,29553.75,cancelled,no active plan,,0.0,0,2026-09-04 11:29:07.177406344-05:00,2026-09-04 16:59:02.419232251+00:00,1,2,limit,sweep_reclaim,0
104,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,6,NY,S2,SHORT,29720.0,29755.06314687017,29635.0,armed,,,0.0,0,2026-09-04 12:11:02.176920212-05:00,2026-09-04 13:27:48.059551269-05:00,0,2,limit,sweep_reclaim,21
105,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,6,NY,S2,SHORT,29720.0,29755.06314687017,29635.0,armed,,,0.0,0,2026-09-04 12:11:02.176920212-05:00,2026-09-04 13:27:48.059551269-05:00,1,2,limit,sweep_reclaim,0
