opportunity,leg,time_ms,price,atr5m,confirm,invalidated,stop_composed,rr,kind,actual_guard,corrected_guard,status,bar_open_ms
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325200000,29058.75,13.828140342280264,false,false,29023.25778948658,2.6925770502551516,limit,send_limit,send_limit,waiting_confirm,1788325140000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325260000,29058.75,13.53684460354596,false,false,29023.694733094682,2.7505178956978957,limit,send_limit,send_limit,waiting_confirm,1788325200000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325320000,29048.25,13.858273174974531,false,false,29023.212590237537,2.6867224266128162,limit,send_limit,send_limit,waiting_confirm,1788325260000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325380000,29042.5,14.304701746403103,true,false,29022.542947380396,2.602873795861972,limit,cancel_marketable,cancel_marketable,passes_known_local_checks,1788325320000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325440000,29044,14.304701746403103,true,false,29022.542947380396,2.602873795861972,limit,send_limit,send_limit,passes_known_local_checks,1788325380000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325500000,29042.75,14.304701746403286,true,true,29022.542947380396,2.602873795861972,limit,cancel_marketable,cancel_marketable,invalidation_refused,1788325440000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325560000,29047.5,13.818651621660194,true,true,29023.27202256751,2.694425936244979,limit,send_limit,send_limit,invalidation_refused,1788325500000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325620000,29038,14.175794478803052,true,true,29022.736308281794,2.6265429700609824,limit,cancel_marketable,cancel_marketable,invalidation_refused,1788325560000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325680000,29040,14.175794478803052,true,true,29022.736308281794,2.6265429700609824,limit,cancel_marketable,cancel_marketable,invalidation_refused,1788325620000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325740000,29043,14.175794478803052,true,true,29022.736308281794,2.6265429700609824,limit,cancel_marketable,cancel_marketable,invalidation_refused,1788325680000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325800000,29038.75,14.175794478803036,true,true,29022.736308281794,2.6265429700609824,limit,cancel_marketable,cancel_marketable,invalidation_refused,1788325740000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325860000,29056,14.520380587459963,true,true,29022.21942911881,2.5642119439684117,limit,send_limit,send_limit,invalidation_refused,1788325800000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325920000,29057,14.681094873174247,true,true,29021.978357690237,2.5361414564089526,limit,send_limit,send_limit,invalidation_refused,1788325860000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788325980000,29059.25,14.859666301745676,true,true,29021.710500547382,2.5056641634650685,limit,send_limit,send_limit,invalidation_refused,1788325920000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788326040000,29067,15.252523444602819,true,true,29021.121214833096,2.441126117167711,limit,send_limit,send_limit,invalidation_refused,1788325980000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788326100000,29067.25,15.502523444602721,true,false,29020.746214833096,2.401759524272514,limit,send_limit,send_limit,passes_known_local_checks,1788326040000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788326160000,29070.25,14.895200341416812,true,false,29021.657199487876,2.499686642670069,limit,outside_band,outside_band,passes_known_local_checks,1788326100000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788326220000,29073.5,15.180914627131099,true,false,29021.228628059303,2.4526409803260254,limit,outside_band,outside_band,passes_known_local_checks,1788326160000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788326280000,29083.75,15.788057484273955,true,false,29020.31791377359,2.358322635347662,limit,outside_band,outside_band,passes_known_local_checks,1788326220000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,0,1788326340000,29083.25,16.038057484273956,true,false,29019.94291377359,2.3215612844536997,limit,outside_band,outside_band,passes_known_local_checks,1788326280000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S3,0,1788325200000,29058.75,13.828140342280264,false,true,29044,2.644906444906549,limit,cancel_marketable,cancel_marketable,waiting_confirm,1788325140000
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S3,0,1788325260000,29058.75,13.53684460354596,false,true,29044,2.644906444906549,limit,cancel_marketable,cancel_marketable,waiting_confirm,1788325200000
