source,line,text
/home/hoang/nofx/data/nofx_2026-09-02.log,2272,09-02 00:31:48 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ✕ armed S1 cancelled — no order_update for 15m (reconnect/reconcile)
/home/hoang/nofx/data/nofx_2026-09-02.log,2273,09-02 00:31:48 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ✕ armed S3 cancelled — no order_update for 15m (reconnect/reconcile)
/home/hoang/nofx/data/nofx_2026-09-02.log,2534,09-02 01:03:41 [INFO] ninjatrader/close_sync.go:206 ⏳ re-entry cooldown armed: MNQ LONG stop=29048.00 (owner=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265)
/home/hoang/nofx/data/nofx_2026-09-02.log,3018,"09-02 01:25:47 [INFO] trader/auto_trader.go:43 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 😴 plan 2026-09-01 ASIA v9 DORMANT — flip-condition: 2x5m close below 29035.25 (buffer 0.5×ATR14, 2× 5m closes) → bias short (entries blocked; auto re-arms when price closes back; replan budget untouched)"
/home/hoang/nofx/data/nofx_2026-09-02.log,3407,"09-02 01:45:47 [INFO] trader/auto_trader.go:43 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ⚡ plan 2026-09-01 ASIA v9 REARMED — 2x5m close back above 29035.25 (buffer 0.5×ATR14, 2× 5m closes)"
/home/hoang/nofx/data/nofx_2026-09-02.log,3539,09-02 01:51:52 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🕒 last-entry cutoff: MNQ open_long REFUSED — past last-entry 01:45 CT (ASIA). Entries reopen next session.
/home/hoang/nofx/data/nofx_2026-09-02.log,9904,09-02 06:27:45 [INFO] c41clone/main.go:240 🔐 BOOT INTEGRITY OK — rev d5a6e138da85 · built 2026-09-02T11:15:37Z · expected d5a6e138da85 · goldens PASS
/home/hoang/nofx/data/nofx_2026-09-02.log,9930,"09-02 06:27:45 [INFO] kernel/levels_volume_boot.go:26 🪢 netting-orphan wave (class 27, 2026-08-31): netting-flat cancels brackets (C# sweep + Go desync cancel_order) · exit reconstruction from the netting fill (never exit=entry; unknown → UNRESOLVED+alarm) · dedupe 577/578 class · one-live-arm guard (opposite-side refused while open; kind=exit escapes) · split legs > capacity rejected (capacity=1 unless max_contracts_per_order raises)"
/home/hoang/nofx/data/nofx_2026-09-02.log,9972,09-02 06:27:45 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🚨 dead-man watchdog: NT8 TCP link DOWN — NEW entries BLOCKED until a clean reconciliation. Open positions & exits are unaffected.
/home/hoang/nofx/data/nofx_2026-09-02.log,9987,"09-02 06:27:45 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ⏳ skipping decision cycle #1 — no balance frame yet (equity 0, waiting for the NT8 AddOn)"
/home/hoang/nofx/data/nofx_2026-09-02.log,10154,09-02 06:29:45 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🔌 dead-man watchdog: NT8 TCP link back UP — sweeping unfilled entries; entries stay BLOCKED until a clean positions/orders reconciliation.
/home/hoang/nofx/data/nofx_2026-09-02.log,10333,09-02 06:31:45 [INFO] trader/auto_trader.go:43 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ✅ dead-man watchdog: clean positions/orders reconciliation — NEW entries RESUMED.
/home/hoang/nofx/data/nofx_2026-09-02.log,12228,09-02 06:57:50 [INFO] c33clone/main.go:240 🔐 BOOT INTEGRITY OK — rev 8a756bba4a21 · built 2026-09-02T11:50:23Z · expected 8a756bba4a21 · goldens PASS
/home/hoang/nofx/data/nofx_2026-09-02.log,12254,"09-02 06:57:50 [INFO] kernel/levels_volume_boot.go:26 🪢 netting-orphan wave (class 27, 2026-08-31): netting-flat cancels brackets (C# sweep + Go desync cancel_order) · exit reconstruction from the netting fill (never exit=entry; unknown → UNRESOLVED+alarm) · dedupe 577/578 class · one-live-arm guard (opposite-side refused while open; kind=exit escapes) · split legs > capacity rejected (capacity=1 unless max_contracts_per_order raises)"
/home/hoang/nofx/data/nofx_2026-09-02.log,12296,09-02 06:57:50 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🚨 dead-man watchdog: NT8 TCP link DOWN — NEW entries BLOCKED until a clean reconciliation. Open positions & exits are unaffected.
/home/hoang/nofx/data/nofx_2026-09-02.log,12312,"09-02 06:57:50 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ⏳ skipping decision cycle #1 — no balance frame yet (equity 0, waiting for the NT8 AddOn)"
