opportunity,leg,status,reason,kind,entry,authored_stop,target
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S2,,disabled,stored arm is absent or disabled,,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S3,,disabled,stored arm is absent or disabled,stop_entry,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S1,,disabled,stored arm is absent or disabled,stop_entry,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S3,,disabled,stored arm is absent or disabled,,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S4,0,checkpoint_evaluated,,limit,29317.25,29355,29209.25
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S1,0,checkpoint_evaluated,,limit,29135.65,29099,29209.25
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S2,0,checkpoint_evaluated,,limit,29317.25,29354,29209.25
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S1,,disabled,stored arm is absent or disabled,stop_entry,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S2,0,checkpoint_evaluated,,limit,29102,29060,29209.25
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S3,0,checkpoint_evaluated,,limit,29058.75,29020,29143.97
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S3,1,checkpoint_evaluated,,limit,29070,29033,29171.25
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S4,,disabled,stored arm is absent or disabled,,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S1,,disabled,stored arm is absent or disabled,stop_entry,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,,disabled,stored arm is absent or disabled,,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,,disabled,stored arm is absent or disabled,,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S4,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S2,,disabled,stored arm is absent or disabled,stop_entry,,,
