condition,n,first_ct,last_ct,win_pct,sum_pnl_corrected,position_ids
reject,31,2026-08-19,2026-09-03,45.2,586.0,"521,523,524,529,533,535,536,537,538,544,547,548,549,550,551,552,553,554,560,564,565,567,569,570,575,581,582,584,585,587,591"
breakout_retest,9,2026-08-20,2026-09-02,11.1,-581.5,"528,534,556,557,558,562,563,589,590"
sweep_reclaim,6,2026-08-25,2026-09-01,16.7,-207.0,"559,561,568,578,583,586"
acceptance,6,2026-08-19,2026-08-21,16.7,4.6,"522,526,527,532,542,543"
reclaim,5,2026-08-19,2026-09-02,0.0,-436.5,"525,531,540,541,588"
hold,1,2026-08-25,2026-08-25,100.0,168.0,555
