position_id,leg,price,method,fill_id,trade_id,time_used_ms,bar_id,bar_open_time_ms,bar_low,bar_high,inside,adverse_extreme,favorable_extreme
521,entry,29623.5,trader_fills,341,<nil>-1787127723937967801,1787127723937,,,,,,,
521,exit,29554.5,position_exit_time,,,1787132616909,,,,,,,
522,entry,29558.25,trader_fills,342,<nil>-1787141851167658213,1787141851167,,,,,,,
522,exit,29588.5,position_exit_time,,,1787142784995,,,,,,,
523,entry,29466.5,trader_fills,343,<nil>-1787148412405594406,1787148412405,,,,,,,
523,exit,29407.5,position_exit_time,,,1787148669853,,,,,,,
524,entry,29650.75,trader_fills,344,<nil>-1787156295772444914,1787156295772,421663,1787156280000,29648.75,29666.25,True,False,False
524,exit,29514.0,position_exit_time,,,1787160091498,421726,1787160060000,29513.25,29523.75,True,False,False
525,entry,29647.0,trader_fills,345,<nil>-1787181724759305657,1787181724759,422028,1787181720000,29644.0,29648.5,True,False,False
525,exit,29625.5,position_exit_time,,,1787183980456,422065,1787183940000,29625.25,29633.5,True,False,False
526,entry,29626.25,trader_fills,346,<nil>-1787189302086538353,1787189302086,422154,1787189280000,29623.5,29635.25,True,False,False
526,exit,29660.964286,position_exit_time,,,1787192187436,422202,1787192160000,29659.75,29666.5,True,False,False
527,entry,29604.5,trader_fills,347,<nil>-1787197048861209521,1787197048861,422283,1787197020000,29600.0,29607.75,True,False,False
527,exit,29648.5,position_exit_time,,,1787198834030,422313,1787198820000,29643.75,29649.25,True,False,False
528,entry,29503.25,trader_fills,348,<nil>-1787214391408146173,1787214391408,422572,1787214360000,29498.75,29512.5,True,False,False
528,exit,29552.0,position_exit_time,,,1787220704886,422677,1787220660000,29545.0,29555.25,True,False,False
529,entry,29539.25,trader_fills,349,<nil>-1787221593302617599,1787221593302,422692,1787221560000,29526.25,29544.25,True,False,False
529,exit,29455.25,position_exit_time,,,1787224917648,422747,1787224860000,29447.0,29463.25,True,False,False
531,entry,29443.75,trader_fills,351,<nil>-1787233297684936156,1787233297684,422887,1787233260000,29390.0,29455.0,True,False,False
531,exit,29370.0,position_exit_time,,,1787233704110,422894,1787233680000,29366.75,29403.0,True,False,False
532,entry,29395.75,trader_fills,352,<nil>-1787236917047749072,1787236917047,422947,1787236860000,29393.0,29415.25,True,False,False
532,exit,29240.25,position_exit_time,,,1787249147278,423151,1787249100000,29239.0,29265.5,True,False,False
533,entry,29322.25,trader_fills,353,<nil>-1787266758372757421,1787266758372,423386,1787266740000,29320.5,29324.5,True,False,False
533,exit,29349.5,position_exit_time,,,1787271163275,423459,1787271120000,29342.25,29354.5,True,False,False
534,entry,29332.25,trader_fills,354,<nil>-1787271748346692474,1787271748346,423469,1787271720000,29328.5,29341.0,True,False,False
534,exit,29365.25,position_exit_time,,,1787276995308,423556,1787276940000,29358.5,29369.0,True,False,False
535,entry,29360.75,trader_fills,355,<nil>-1787278123496603523,1787278123496,423575,1787278080000,29359.5,29365.0,True,False,False
535,exit,29376.25,position_exit_time,,,1787278857194,423587,1787278800000,29368.75,29378.5,True,False,False
536,entry,29393.0,trader_fills,356,<nil>-1787279779760562753,1787279779760,423603,1787279760000,29391.25,29395.0,True,False,False
536,exit,29331.0,position_exit_time,,,1787286454106,423714,1787286420000,29330.75,29337.5,True,False,False
537,entry,29360.25,trader_fills,357,<nil>-1787289910848494079,1787289910848,423772,1787289900000,29360.25,29366.0,True,True,False
