id,plan_id,version,session,scenario,side,entry_px,stop_px,target_px,state,state_reason,entry_class,kind,condition,leg_index,leg_count,fill_price,created_ct,updated_ct,boot_id,armed_under_version,placement_seq,raw_created,raw_updated
73,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:25:01","2026-09-04 10:40:01","",0,5,"2026-09-04 10:25:01.027419193-05:00","2026-09-04 15:40:01.394607446+00:00"
75,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.5759174815,29481.5,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:26:02","2026-09-04 10:42:01","",0,6,"2026-09-04 10:26:02.820174595-05:00","2026-09-04 15:42:01.195667232+00:00"
77,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.5759174815,29481.5,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:28:02","2026-09-04 10:44:01","",0,7,"2026-09-04 10:28:02.470581389-05:00","2026-09-04 15:44:01.240221148+00:00"
79,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:30:02","2026-09-04 10:46:01","",0,8,"2026-09-04 10:30:02.945955423-05:00","2026-09-04 15:46:01.18619857+00:00"
81,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:32:02","2026-09-04 10:48:00","",0,9,"2026-09-04 10:32:02.154545688-05:00","2026-09-04 15:48:00.742367108+00:00"
83,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:34:01","2026-09-04 10:50:00","",0,10,"2026-09-04 10:34:01.746929746-05:00","2026-09-04 15:50:00.531285372+00:00"
85,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:36:01","2026-09-04 10:52:00","",0,11,"2026-09-04 10:36:01.425755244-05:00","2026-09-04 15:52:00.520218777+00:00"
87,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:38:01","2026-09-04 10:53:10","",0,12,"2026-09-04 10:38:01.252761259-05:00","2026-09-04 15:53:10.99594531+00:00"
89,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:40:01","2026-09-04 10:53:10","",0,13,"2026-09-04 10:40:01.390944696-05:00","2026-09-04 15:53:10.99947125+00:00"
91,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:42:01","2026-09-04 10:53:11","",0,14,"2026-09-04 10:42:01.192503574-05:00","2026-09-04 15:53:11.002503607+00:00"
92,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S1,SHORT,29657.38,29720.5,29503.38,superseded,"superseded: never placed (no signal id) and plan moved v3 → v4 (class 47)",armed_fill,limit,reject,0,0,0.0,"2026-09-04 10:44:01","2026-09-04 11:05:09","",0,1,"2026-09-04 10:44:01.237828352-05:00","2026-09-04 16:05:09.27546871+00:00"
93,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:44:01","2026-09-04 10:53:11","",0,15,"2026-09-04 10:44:01.237828352-05:00","2026-09-04 15:53:11.004634084+00:00"
94,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S1,SHORT,29657.38,29720.5,29503.38,superseded,"superseded: never placed (no signal id) and plan moved v3 → v4 (class 47)",armed_fill,limit,reject,0,0,0.0,"2026-09-04 10:46:01","2026-09-04 11:05:09","",0,2,"2026-09-04 10:46:01.184031184-05:00","2026-09-04 16:05:09.275549535+00:00"
95,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:46:01","2026-09-04 10:53:11","",0,16,"2026-09-04 10:46:01.184031184-05:00","2026-09-04 15:53:11.006679846+00:00"
96,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S1,SHORT,29657.38,29720.5,29503.38,superseded,"superseded: never placed (no signal id) and plan moved v3 → v4 (class 47)",armed_fill,limit,reject,0,0,0.0,"2026-09-04 10:48:00","2026-09-04 11:05:09","",0,3,"2026-09-04 10:48:00.738001273-05:00","2026-09-04 16:05:09.275590153+00:00"
97,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:48:00","2026-09-04 10:53:11","",0,17,"2026-09-04 10:48:00.738001273-05:00","2026-09-04 15:53:11.007601628+00:00"
98,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S1,SHORT,29657.38,29720.5,29503.38,superseded,"superseded: never placed (no signal id) and plan moved v3 → v4 (class 47)",armed_fill,limit,reject,0,0,0.0,"2026-09-04 10:50:00","2026-09-04 11:05:09","",0,4,"2026-09-04 10:50:00.527486448-05:00","2026-09-04 16:05:09.275613938+00:00"
99,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:50:00","2026-09-04 10:53:11","",0,18,"2026-09-04 10:50:00.527486448-05:00","2026-09-04 15:53:11.009244397+00:00"
100,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,S1,SHORT,29720.0,29765.0,29553.75,cancelled,"no active plan","",limit,reject,0,2,0.0,"2026-09-04 11:29:07","2026-09-04 11:59:02",1090293-1788537190995,5,5,"2026-09-04 11:29:07.177406344-05:00","2026-09-04 16:59:02.293735887+00:00"
101,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"boot_sweep: pre-boot order, process restarted",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:52:00","2026-09-04 10:53:11","",0,19,"2026-09-04 10:52:00.5176577-05:00","2026-09-04 15:53:11.010776643+00:00"
102,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,"cancelled in NT8",armed_fill,stop_entry,reclaim,0,0,0.0,"2026-09-04 10:53:11","2026-09-04 11:59:02","",0,20,"2026-09-04 10:53:11.012117278-05:00","2026-09-04 16:59:02.41888851+00:00"
103,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,S1,SHORT,29720.0,29765.0,29553.75,cancelled,"no active plan",armed_fill,limit,sweep_reclaim,1,2,0.0,"2026-09-04 11:29:07","2026-09-04 11:59:02",1090293-1788537190995,5,0,"2026-09-04 11:29:07.177406344-05:00","2026-09-04 16:59:02.419232251+00:00"
104,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,NY,S2,SHORT,29720.0,29755.0631468702,29635.0,armed,"",armed_fill,limit,sweep_reclaim,0,2,0.0,"2026-09-04 12:11:02","2026-09-04 13:27:48","",6,21,"2026-09-04 12:11:02.176920212-05:00","2026-09-04 13:27:48.059551269-05:00"
105,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,NY,S2,SHORT,29720.0,29755.0631468702,29635.0,armed,"",armed_fill,limit,sweep_reclaim,1,2,0.0,"2026-09-04 12:11:02","2026-09-04 13:27:48",1090293-1788537190995,6,0,"2026-09-04 12:11:02.176920212-05:00","2026-09-04 13:27:48.059551269-05:00"
