id,plan_id,version,session,scenario,rule,condition,direction,entry_px,stop_px,target_px,fill_px,rr,atr5m,mfe,mae,mfe_r,mae_r,time_to_mfe_bars,time_to_resolve_bars,net_pnl,outcome,ambiguous,is_counterfactual,created_ct
31,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,S1,1x5m_close,reject,short,29477.75,29500.21,29418.62,29477.75,2.63268032057005,24.3511785001684,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-01 02:49:29"
32,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,S1,2x5m_close,reject,short,29470.25,29500.21,29418.62,29470.25,1.72329773030716,23.5046657501564,0.0,29.9599999999991,0.0,0.999576737234202,0,0,0.0,open,0,0,"2026-09-01 02:51:29"
33,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,LONDON,S1,1m_mss,reject,short,29413.0,29500.21,29418.62,29413.0,-0.998615081405342,27.2016610043559,0.0,0.0,0.0,0.0,0,0,-117664.24,target,0,0,"2026-09-01 03:06:35"
34,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,S2,1x5m_close,reject,short,29220.0,29273.0,29182.0,29220.0,0.716981132075472,26.268390306136,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-01 04:53:29"
35,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,LONDON,S2,2x5m_close,reject,short,29224.0,29273.0,29182.0,29224.0,0.857142857142857,24.9290665087591,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-01 04:55:29"
36,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S1,1x5m_close,reject,short,29252.75,29212.5,29154.38,29252.75,-0.999005905217202,22.6253010973961,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-01 05:35:28"
37,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S2,1x5m_close,sweep_reclaim,long,29252.75,29170.0,29323.92,29252.75,0.860060422960704,22.6253010973961,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-01 05:35:28"
38,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S3,1x5m_close,reject,short,29252.75,29385.0,29280.0,29252.75,-0.998209344662781,22.6253010973961,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-01 05:35:28"
39,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S1,2x5m_close,reject,short,29239.25,29212.5,29154.38,29239.25,-0.999005675621346,22.2222183659493,0.0,58451.75,0.0,1.0,0,0,-116904.5,stop,0,0,"2026-09-01 05:41:28"
40,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S2,2x5m_close,sweep_reclaim,long,29239.25,29170.0,29323.92,29239.25,1.22267148014438,22.2222183659493,10.75,2.0,0.155234657039711,0.0288808664259928,0,0,-0.5,open,0,0,"2026-09-01 05:41:28"
41,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S3,2x5m_close,reject,short,29239.25,29385.0,29280.0,29239.25,-0.998208932310435,22.2222183659493,0.0,0.0,0.0,0.0,0,0,-117039.5,target,0,0,"2026-09-01 05:41:28"
42,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S2,touch,sweep_reclaim,long,29212.5,29170.0,29323.92,29212.5,2.62164705882349,23.3611584015439,4.75,14.5,0.111764705882353,0.341176470588235,0,0,-19.0,open,0,0,"2026-09-01 05:53:28"
43,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S1,1m_mss,reject,short,29192.75,29212.5,29154.38,29192.75,1.94278481012653,22.35604984623,0.0,19.75,0.0,0.999863026012216,0,0,0.0,open,0,0,"2026-09-01 06:03:28"
44,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S3,1m_mss,reject,short,29192.75,29385.0,29280.0,29192.75,-0.998207510530876,22.35604984623,0.0,0.0,0.0,0.0,0,0,-116946.5,target,0,0,"2026-09-01 06:03:28"
45,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,LONDON,S2,1m_mss,sweep_reclaim,long,29206.75,29170.0,29323.92,29206.75,3.18829931972784,21.2334152741136,2.5,2.5,0.0680272108843537,0.0680272108843537,0,0,-1.0,open,0,0,"2026-09-01 06:17:28"
46,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,LONDON,S3,touch,reject,long,29161.96,29140.0,29212.5,29161.96,2.30145719489995,20.2828460177561,11.0400000000009,6.20999999999913,0.502732240437218,0.282786885245873,1,0,-10.4199999999983,open,0,0,"2026-09-01 07:10:01"
47,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,LONDON,S3,1x5m_close,reject,long,29157.25,29140.0,29212.5,29157.25,3.20289855072464,20.2828460177561,15.75,1.5,0.91304347826087,0.0869565217391304,1,0,-1.0,open,0,0,"2026-09-01 07:10:01"
48,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,LONDON,S3,2x5m_close,reject,long,29159.0,29140.0,29212.5,29159.0,2.81578947368421,20.2828460177561,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-01 07:10:01"
49,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,LONDON,S3,1m_mss,reject,long,29140.25,29140.0,29212.5,29140.25,289.0,22.1746392739987,0.0,0.25,0.0,1.0,0,0,-1.5,stop,0,0,"2026-09-01 07:37:28"
50,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,LONDON,S1,1x5m_close,reject,short,29129.75,29147.25,29085.0,29129.75,2.55714285714286,21.4685811943408,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-01 07:57:28"
51,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,LONDON,S2,1x5m_close,reject,short,29129.75,29162.0,29085.0,29129.75,1.38759689922481,21.4685811943408,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-01 07:57:28"
52,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,LONDON,S1,2x5m_close,reject,short,29125.25,29147.25,29085.0,29125.25,1.82954545454545,20.1914886600512,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-01 08:00:01"
53,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,LONDON,S2,2x5m_close,reject,short,29125.25,29162.0,29085.0,29125.25,1.0952380952381,20.1914886600512,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-01 08:00:01"
54,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,LONDON,S1,1m_mss,reject,short,29087.0,29147.25,29085.0,29087.0,0.033195020746888,21.252031919143,0.0,0.0,0.0,0.0,0,0,4.0,target,0,0,"2026-09-01 08:19:08"
55,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,LONDON,S2,1m_mss,reject,short,29087.0,29162.0,29085.0,29087.0,0.0266666666666667,21.252031919143,0.0,0.0,0.0,0.0,0,0,4.0,target,0,0,"2026-09-01 08:19:08"
56,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S2,1x5m_close,reject,short,29098.75,29158.5,29085.0,29098.75,0.230125523012552,22.67081418599,0.0,59.75,0.0,0.999073076741521,0,9,27.5,target,0,0,"2026-09-01 08:31:08"
57,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S2,2x5m_close,reject,short,29093.25,29158.5,29085.0,29093.25,0.126436781609195,22.67081418599,0.0,65.25,0.0,0.9990729892235,0,6,16.5,target,0,0,"2026-09-01 08:31:08"
