DEDUPED seated levels (one per session-day x label x price): 985 from 47 plan-sessions

== by AI grade
key                    seats days touch% 1st:h 1st:b 1st:a p_hold1         wilson95 | all:h all:b  p_all   dist
LONDON                   213   13   78.4    76    52    39   0.594 [0.507,0.675] |   566   600  0.485   74.3

== by distance bucket
key                    seats days touch% 1st:h 1st:b 1st:a p_hold1         wilson95 | all:h all:b  p_all   dist
<25                      338   16   98.8   125    91   118   0.579 [0.512,0.643] |  1465  1509  0.493   11.4
<50                      216   16   90.3    74    59    62   0.556 [0.472,0.638] |   843   863  0.494   36.2
<100                     214   16   85.0    78    72    32   0.520 [0.441,0.598] |   672   596  0.530   70.5
<200                     141   16   44.7    30    24     9   0.556 [0.424,0.680] |   160   144  0.526  138.7
200+                      76   16    6.6     3     1     1   0.750 [0.301,0.954] |    15    13  0.536  312.8

== kind family x session (n>=5)
key                    seats days touch% 1st:h 1st:b 1st:a p_hold1         wilson95 | all:h all:b  p_all   dist
('VWAP*', 'ASIA')        118    7   99.2    48    28    41   0.632 [0.519,0.731] |   646   703  0.479   29.0
('VWAP*', 'NY')           77    8   66.2    16    25    10   0.390 [0.257,0.543] |   107   112  0.489   52.2
('VWAP*', 'LONDON')       52    7   80.8    19    11    12   0.633 [0.455,0.781] |   160   167  0.489   51.3
('OB', 'ASIA')            47    8   70.2     8     7    18   0.533 [0.301,0.752] |   152   183  0.454  129.8
('EQL', 'ASIA')           41    7   97.6     5    20    15   0.200 [0.089,0.391] |   209   177  0.541   45.9
('ONL', 'ASIA')           36   13   83.3    10    11     9   0.476 [0.283,0.676] |   155   118  0.568   49.2
('ONH', 'ASIA')           34   13   88.2    11     7    12   0.611 [0.386,0.797] |   143   135  0.514   28.1
('EQH', 'ASIA')           32    6   96.9    11     8    12   0.579 [0.363,0.769] |   153   118  0.565   33.8
('OB', 'LONDON')          31    8   71.0    10     9     3   0.526 [0.317,0.727] |    84    79  0.515  108.4
('SWG-H', 'ASIA')         31    6  100.0    15     8     8   0.652 [0.449,0.812] |   129   122  0.514   38.1
('EQL', 'NY')             26    8   73.1    10     4     5   0.714 [0.454,0.883] |    34    28  0.548   72.9
('SWG-L', 'ASIA')         24    6   95.8     9     9     5   0.500 [0.290,0.710] |   101   118  0.461   45.2
('EQH', 'LONDON')         22    7   90.9    10     4     6   0.714 [0.454,0.883] |    68    77  0.469   68.3
('EQH', 'NY')             21    6   66.7    11     1     2   0.917 [0.646,0.985] |    52    41  0.559   77.1
('PDH', 'ASIA')           20   10   65.0     4     5     4   0.444 [0.189,0.733] |    70    68  0.507  125.9
