seated-level rows evaluated: 2215 (plans with >=15 bars after created_at, non-WEEKLY)

== by AI grade
key                    seats touched% 1st:hold 1st:brk 1st:amb p_hold1         wilson95 | all:hold all:brk p_hold_all avg_dist
('IFVG', 'A')             15     60.0        4       1       4   0.800 [0.376,0.964] |       25      26      0.490     87.3

== by session
key                    seats touched% 1st:hold 1st:brk 1st:amb p_hold1         wilson95 | all:hold all:brk p_hold_all avg_dist
ASIA                     918     82.0      276     214     263   0.563 [0.519,0.607] |     3594    3552      0.503     81.3
NY                       705     53.8      186     132      61   0.585 [0.530,0.638] |      811     687      0.541    102.3
LONDON                   592     68.9      161     134     113   0.546 [0.489,0.602] |     1302    1349      0.491    107.5

== by AI instruction keyword
key                    seats touched% 1st:hold 1st:brk 1st:amb p_hold1         wilson95 | all:hold all:brk p_hold_all avg_dist
target                   729     61.3      178     135     134   0.569 [0.513,0.622] |     1463    1377      0.515    114.3
other                    587     76.7      173     139     138   0.554 [0.499,0.609] |     1803    1642      0.523     79.9
confluence               171     69.0       40      42      36   0.488 [0.383,0.594] |      421     517      0.449    112.2
fade                     128     78.9       45      29      27   0.608 [0.494,0.711] |      399     426      0.484     68.0
react                    121     46.3       24      21      11   0.533 [0.391,0.671] |      175     189      0.481    133.4
reject                    92     79.3       32      23      18   0.582 [0.450,0.703] |      314     302      0.510     70.1
sweep                     81     70.4       24      18      15   0.571 [0.422,0.709] |      252     254      0.498     77.0
liquidity                 67     71.6       18      19      11   0.486 [0.334,0.641] |      182     187      0.493     80.5
magnet                    57     82.5       21      17       9   0.553 [0.397,0.699] |      164     191      0.462     71.4
trigger                   43     83.7       14      10      12   0.583 [0.388,0.755] |      135     116      0.538     50.8
support                   33     69.7       14       6       3   0.700 [0.481,0.855] |       85      70      0.548     96.7
target only               29     65.5        7       6       6   0.538 [0.291,0.768] |       59      55      0.518     92.4
flip                      28     89.3        8       9       8   0.471 [0.262,0.690] |      114     128      0.471     49.3
death                     21     71.4       13       1       1   0.929 [0.685,0.987] |       65      36      0.644    108.8
pivot                     19     84.2        8       3       5   0.727 [0.434,0.903] |       52      74      0.413     71.5
resistance                 9    100.0        4       2       3   0.667 [0.300,0.903] |       24      24      0.500     98.2

