k,merge,cap,stop_mult,horizon,n,mean,se,stat,p_maxT,p_bonf,net_positive
1,0.25,3,0,20@5m,7666,0.6448,0.0055,0.0035,1.0000,1.0000,false
1,0.25,5,0,12@1m,7966,0.7152,0.0051,0.0162,0.1305,1.0000,false
1,0.25,5,0,10@5m,7589,0.6471,0.0055,0.0037,1.0000,1.0000,false
1,0.25,5,0,20@5m,7666,0.6448,0.0055,0.0035,1.0000,1.0000,false
1,0.5,2,0,12@1m,7359,0.7365,0.0051,0.0052,1.0000,1.0000,false
1,0.5,2,0,10@5m,7058,0.6550,0.0057,0.0042,1.0000,1.0000,false
1,0.5,2,0,20@5m,7141,0.6524,0.0056,0.0041,1.0000,1.0000,false
1,0.5,3,0,12@1m,7474,0.7386,0.0051,0.0072,1.0000,1.0000,false
1,0.5,3,0,10@5m,7164,0.6552,0.0056,0.0044,1.0000,1.0000,false
1,0.5,3,0,20@5m,7248,0.6526,0.0056,0.0043,1.0000,1.0000,false
1,0.5,5,0,12@1m,7476,0.7385,0.0051,0.0071,1.0000,1.0000,false
1,0.5,5,0,10@5m,7166,0.6552,0.0056,0.0044,1.0000,1.0000,false
1,0.5,5,0,20@5m,7250,0.6526,0.0056,0.0042,1.0000,1.0000,false
1,1,2,0,12@1m,7289,0.7436,0.0051,0.0122,0.7630,1.0000,false
1,1,2,0,10@5m,6998,0.6610,0.0057,0.0103,0.9775,1.0000,false
1,1,2,0,20@5m,7082,0.6581,0.0056,0.0098,0.9925,1.0000,false
1,1,3,0,12@1m,7393,0.7460,0.0051,0.0146,0.3180,1.0000,false
1,1,3,0,10@5m,7096,0.6612,0.0056,0.0104,0.9675,1.0000,false
1,1,3,0,20@5m,7181,0.6583,0.0056,0.0100,0.9905,1.0000,false
1,1,5,0,12@1m,7394,0.7459,0.0051,0.0145,0.3355,1.0000,false
1,1,5,0,10@5m,7097,0.6611,0.0056,0.0103,0.9730,1.0000,false
1,1,5,0,20@5m,7182,0.6582,0.0056,0.0099,0.9925,1.0000,false
