ts_ct,session,event,reason,plan_version_in_force,plan_age_min,move_pts_15m,evidence
2026-09-02 10:08:30,NY,skipped,min_interval,2026-09-02:NY v4,22.6,37.75,09-02 10:08:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29120.25 below 29246.25 (noise 8.41) on NY 2026-09-02 — SKIPPED: 26m elapsed < wake_min_interval_min (30m).
2026-09-02 10:10:30,NY,skipped,min_interval,2026-09-02:NY v4,24.6,37.75,09-02 10:10:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29120.25 below 29246.25 (noise 8.43) on NY 2026-09-02 — SKIPPED: 28m elapsed < wake_min_interval_min (30m).
2026-09-02 10:12:30,NY,skipped,min_interval,2026-09-02:NY v4,26.6,37.75,09-02 10:12:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29120.25 below 29246.25 (noise 8.57) on NY 2026-09-02 — SKIPPED: 30m elapsed < wake_min_interval_min (30m).
2026-09-02 10:14:30,NY,fired,proceed,2026-09-02:NY v4,28.6,37.75,"09-02 10:14:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29120.25 below 29246.25 (noise 8.57) on NY 2026-09-02 — waking the planner (W6, 5th wake-up)."
2026-09-02 10:15:01,NY,skipped,min_interval,2026-09-02:NY v4,29.1,46.75,09-02 10:15:01 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29158.25 below 29246.25 (noise 7.97) on NY 2026-09-02 — SKIPPED: 1m elapsed < wake_min_interval_min (30m).
2026-09-02 10:16:30,NY,skipped,min_interval,2026-09-02:NY v4,30.6,46.75,09-02 10:16:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29158.25 below 29246.25 (noise 8.19) on NY 2026-09-02 — SKIPPED: 2m elapsed < wake_min_interval_min (30m).
2026-09-02 10:18:30,NY,skipped,min_interval,2026-09-02:NY v4,32.6,46.75,09-02 10:18:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29158.25 below 29246.25 (noise 8.23) on NY 2026-09-02 — SKIPPED: 4m elapsed < wake_min_interval_min (30m).
2026-09-02 10:20:30,NY,skipped,min_interval,2026-09-02:NY v4,34.6,46.75,09-02 10:20:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29158.25 below 29246.25 (noise 8.37) on NY 2026-09-02 — SKIPPED: 6m elapsed < wake_min_interval_min (30m).
2026-09-02 10:22:30,NY,skipped,min_interval,2026-09-02:NY v4,36.6,46.75,09-02 10:22:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29158.25 below 29246.25 (noise 8.37) on NY 2026-09-02 — SKIPPED: 8m elapsed < wake_min_interval_min (30m).
2026-09-02 10:24:30,NY,skipped,min_interval,2026-09-02:NY v5,1.9,46.75,09-02 10:24:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29158.25 below 29246.25 (noise 8.37) on NY 2026-09-02 — SKIPPED: 10m elapsed < wake_min_interval_min (30m).
2026-09-02 10:25:00,NY,skipped,min_interval,2026-09-02:NY v5,2.5,46.75,09-02 10:25:00 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29158.25 below 29246.25 (noise 8.37) on NY 2026-09-02 — SKIPPED: 11m elapsed < wake_min_interval_min (30m).
2026-09-02 10:26:34,NY,skipped,min_interval,2026-09-02:NY v5,4.0,46.75,09-02 10:26:34 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29158.25 below 29246.25 (noise 8.44) on NY 2026-09-02 — SKIPPED: 12m elapsed < wake_min_interval_min (30m).
2026-09-02 10:28:30,NY,skipped,min_interval,2026-09-02:NY v5,6.0,46.75,09-02 10:28:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29158.25 below 29246.25 (noise 8.57) on NY 2026-09-02 — SKIPPED: 14m elapsed < wake_min_interval_min (30m).
2026-09-02 10:30:30,NY,skipped,min_interval,2026-09-02:NY v5,8.0,-22.75,09-02 10:30:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29205.00 below 29246.25 (noise 8.03) on NY 2026-09-02 — SKIPPED: 16m elapsed < wake_min_interval_min (30m).
2026-09-02 10:32:30,NY,skipped,min_interval,2026-09-02:NY v5,9.9,-22.75,09-02 10:32:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29205.00 below 29246.25 (noise 8.14) on NY 2026-09-02 — SKIPPED: 18m elapsed < wake_min_interval_min (30m).
2026-09-02 10:37:18,NY,skipped,min_interval,2026-09-02:NY v5,14.8,-22.75,09-02 10:37:18 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29205.00 below 29246.25 (noise 8.29) on NY 2026-09-02 — SKIPPED: 23m elapsed < wake_min_interval_min (30m).
2026-09-02 10:38:30,NY,skipped,min_interval,2026-09-02:NY v5,15.9,-22.75,09-02 10:38:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29205.00 below 29246.25 (noise 8.29) on NY 2026-09-02 — SKIPPED: 24m elapsed < wake_min_interval_min (30m).
