id,db_entry_px_last_spec,nt8_placed_px_from_log,created_ct,reaped_ct,life_min,low_full_life,bars_touch_rest_px_in_life,bars_touch_db_entry_in_life,first_touch_AFTER_reap_ct
22,29417.0,29417.0,"2026-08-31 12:41:29","2026-08-31 13:09:28",27.983,29420.25,0,0,"2026-08-31 13:35:00"
29,29044.0,29035.25,"2026-09-01 23:21:03","2026-09-02 00:31:48",70.75,29037.25,0,9,"2026-09-02 01:17:00"
30,29035.25,29035.25,"2026-09-01 23:49:02","2026-09-02 00:07:07",18.083,29037.25,0,0,"2026-09-02 01:17:00"
31,29068.05,29068.05,"2026-09-02 00:16:32","2026-09-02 00:31:48",15.267,29068.5,0,0,"2026-09-02 00:54:00"
