id,trader_id,trade_date,session,plan_id,version,prompt_hash,bias_ai,bias_tree,bias_regime,tokens_in,void_count,created_utc,created_ct
1,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,ASIA,"",0,a28d83f159084145,"","",up/NORMAL,0,18,"2026-09-03 05:00:56","2026-09-03 00:00:56"
2,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,ASIA,"",0,a28d83f159084145,"","",up/NORMAL,0,13,"2026-09-03 05:30:56","2026-09-03 00:30:56"
3,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,LONDON,"",0,a28d83f159084145,"","",up/NORMAL,0,18,"2026-09-03 06:30:56","2026-09-03 01:30:56"
4,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,NY,"",0,a28d83f159084145,"","",up/NORMAL,0,16,"2026-09-03 13:00:54","2026-09-03 08:00:54"
5,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,LONDON,"",0,a28d83f159084145,"","",up/NORMAL,0,14,"2026-09-03 13:06:54","2026-09-03 08:06:54"
6,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,NY,"",0,a28d83f159084145,"","",up/NORMAL,0,14,"2026-09-03 13:36:54","2026-09-03 08:36:54"
7,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,NY,"",0,a28d83f159084145,"","",up/NORMAL,0,20,"2026-09-03 14:06:54","2026-09-03 09:06:54"
8,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,NY,"",0,a28d83f159084145,"","",up/NORMAL,0,18,"2026-09-03 14:38:54","2026-09-03 09:38:54"
9,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,NY,"",0,a28d83f159084145,"","",up/NORMAL,0,19,"2026-09-03 15:10:54","2026-09-03 10:10:54"
10,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,NY,"",0,a28d83f159084145,"","",up/NORMAL,0,21,"2026-09-03 15:45:01","2026-09-03 10:45:01"
11,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,NY,"",0,a28d83f159084145,"","",up/NORMAL,0,18,"2026-09-03 16:20:33","2026-09-03 11:20:33"
12,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,ASIA,"",0,a28d83f159084145,"","",up/NORMAL,0,22,"2026-09-03 21:30:21","2026-09-03 16:30:21"
13,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,ASIA,"",0,a28d83f159084145,"","",up/NORMAL,0,2,"2026-09-03 23:00:24","2026-09-03 18:00:24"
14,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,ASIA,"",0,a28d83f159084145,"","",up/NORMAL,0,4,"2026-09-03 23:41:09","2026-09-03 18:41:09"
15,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,ASIA,"",0,a28d83f159084145,"","",up/NORMAL,0,2,"2026-09-04 00:18:06","2026-09-03 19:18:06"
16,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,ASIA,"",0,a28d83f159084145,"","",up/NORMAL,0,6,"2026-09-04 00:50:05","2026-09-03 19:50:05"
17,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,ASIA,"",0,a28d83f159084145,"","",up/NORMAL,0,8,"2026-09-04 01:24:03","2026-09-03 20:24:03"
